user_id,item_id,rating,timestamp,category
920,3,3,1648408650,Clothing
436,64,5,1618042556,Beauty
217,375,1,1612758950,Toys
576,401,5,1648728890,Toys
693,99,4,1624277750,Sports
843,167,1,1650157670,Home
365,193,3,1631358543,Beauty
843,287,2,1614400896,Electronics
23,428,3,1664339343,Home
157,30,1,1662807465,Books
410,322,3,1650407081,Sports
976,398,4,1645199687,Home
948,31,5,1621312987,Electronics
480,408,2,1667143631,Home
995,404,3,1647046582,Beauty
398,115,4,1623094418,Electronics
205,112,4,1668841948,Electronics
43,67,2,1630278540,Sports
806,437,1,1629404473,Books
676,296,3,1661623458,Beauty
404,317,1,1639748442,Beauty
602,308,1,1629970737,Electronics
103,379,5,1618792271,Electronics
153,432,1,1653979368,Books
233,446,1,1661071844,Books
609,94,4,1616667434,Beauty
495,280,2,1666971140,Electronics
645,110,3,1657471401,Sports
322,165,1,1632257550,Sports
579,146,3,1615510274,Beauty
362,18,4,1622177891,Books
414,189,3,1613469047,Sports
205,442,3,1654317008,Toys
213,431,3,1640366800,Clothing
658,449,4,1658323528,Toys
617,212,2,1634561043,Electronics
665,124,4,1622101885,Toys
277,390,1,1660919300,Home
753,140,5,1622788768,Electronics
290,243,4,1636010381,Beauty
3,392,1,1648722258,Clothing
860,493,5,1627566019,Home
6,264,3,1657463514,Books
674,356,3,1631478033,Books
849,122,4,1668606000,Clothing
479,134,3,1671812611,Electronics
109,106,3,1633552164,Books
147,480,2,1639126188,Books
178,134,5,1649132597,Electronics
545,195,1,1671508394,Home
221,285,1,1614212999,Sports
585,386,4,1614113636,Electronics
698,139,4,1614691299,Beauty
904,8,1,1628331587,Home
58,208,3,1652148305,Electronics
663,345,3,1615677295,Clothing
777,199,2,1664712470,Home
503,316,5,1634180162,Beauty
690,433,3,1638967200,Sports
397,166,4,1642800322,Books
76,306,5,1627369441,Electronics
142,239,5,1625835141,Toys
491,361,3,1648764646,Books
154,431,4,1631944248,Clothing
767,139,4,1631914759,Beauty
211,244,5,1630284082,Sports
517,381,2,1666263645,Home
318,345,1,1667569082,Clothing
391,127,1,1638738003,Books
890,359,4,1617699115,Sports
881,254,1,1624275502,Clothing
445,455,1,1646391697,Toys
382,34,4,1621570133,Electronics
642,290,5,1610371815,Clothing
27,196,5,1614360394,Toys
223,152,5,1661431624,Electronics
871,128,4,1638444490,Books
306,432,3,1647867227,Books
269,198,3,1647489109,Books
737,343,4,1631305451,Books
129,288,4,1628658760,Beauty
722,189,5,1651569296,Sports
256,161,5,1637967914,Electronics
490,35,4,1627370277,Beauty
22,365,4,1626647658,Books
900,441,2,1661918312,Home
285,174,1,1651823395,Sports
977,339,4,1648464086,Home
418,56,3,1616836921,Home
433,71,2,1626764387,Sports
389,403,4,1619559024,Sports
131,356,3,1626814922,Books
474,173,3,1664989071,Home
570,82,5,1614366239,Toys
203,210,1,1667657874,Beauty
717,398,2,1649214140,Home
994,408,2,1656676851,Home
724,300,5,1651556264,Electronics
197,226,4,1658613438,Home
106,413,5,1654614217,Electronics
708,162,5,1661406308,Clothing
992,437,2,1629826281,Books
556,202,5,1665579954,Electronics
987,416,5,1665495045,Home
363,234,2,1628274145,Beauty
308,371,2,1609880333,Beauty
151,289,1,1641836634,Books
36,375,1,1661133872,Toys
371,31,1,1648029116,Electronics
825,470,5,1612840284,Books
816,10,1,1665607986,Toys
903,308,2,1657625241,Electronics
572,102,2,1653731476,Electronics
705,232,3,1651372478,Sports
111,401,3,1647469810,Toys
432,299,1,1612825135,Beauty
831,128,1,1632583262,Books
768,332,5,1628465531,Clothing
600,399,1,1667076901,Sports
316,488,2,1655673170,Electronics
713,462,4,1632874218,Clothing
246,142,1,1656853329,Toys
847,233,2,1618158150,Electronics
708,325,4,1622366011,Sports
198,500,2,1656962052,Clothing
841,46,4,1665966376,Toys
347,228,2,1628871981,Electronics
226,191,3,1665988973,Home
222,27,1,1661428839,Home
572,272,4,1660961813,Sports
968,324,5,1613066303,Sports
769,153,3,1654315929,Toys
507,259,5,1643493201,Clothing
316,473,4,1664309227,Home
721,277,2,1657671044,Electronics
283,488,3,1627534147,Electronics
799,234,3,1613506114,Beauty
516,108,5,1625850205,Electronics
163,121,2,1641913846,Sports
255,86,2,1628835315,Books
3,417,5,1623605322,Beauty
661,386,5,1652137915,Electronics
391,62,1,1642358941,Books
896,297,4,1630025878,Sports
193,133,2,1610922105,Sports
684,120,1,1634535496,Toys
184,496,5,1646228578,Home
713,444,4,1666747551,Toys
435,368,3,1664708545,Beauty
299,40,5,1625473831,Clothing
48,364,4,1641385319,Sports
100,80,5,1651133476,Electronics
887,456,4,1642431602,Clothing
141,386,3,1656500190,Electronics
14,96,5,1670449032,Electronics
821,301,4,1633451945,Books
565,296,5,1668705283,Beauty
843,164,4,1628256903,Sports
120,333,3,1661903449,Electronics
195,315,2,1625043523,Home
778,388,3,1622880308,Sports
561,320,5,1668791119,Clothing
214,297,5,1636517779,Sports
575,352,3,1669657111,Sports
699,165,2,1650986210,Sports
209,266,5,1612981119,Beauty
475,302,4,1626386064,Beauty
318,58,4,1656657513,Electronics
628,387,1,1628478622,Home
702,372,3,1630465697,Sports
66,21,5,1636147286,Home
165,309,1,1628085542,Beauty
753,7,3,1658201115,Toys
170,128,5,1627069186,Books
343,263,2,1627720467,Home
